affiliation,level,season,number
ANA,A,1977,2
ANA,A,1976,2
ANA,A,1975,2
ANA,A,1974,2
ANA,A,1973,2
ANA,A,1972,2
NYY,Rk,1980,2
NYY,Rk,1981,2
ANA,A,1969,2
NYY,FRk,2014,2
NYY,FRk,2015,2
NYY,FRk,2016,2
SEA,FRk,2011,2
SEA,FRk,2009,2
SEA,FRk,2008,2
SEA,FRk,2007,2
SEA,FRk,2006,2
SEA,FRk,2005,2
SEA,FRk,2004,2
SEA,FRk,2003,2
SEA,FRk,2002,2
CIN,A,1990,2
CIN,A,1989,2
CHC,A,1968,2
CHC,A,1967,2
CHC,A,1966,2
CIN,A,1988,2
CHC,A,1964,2
CIN,A,1987,2
CIN,A,1986,2
CIN,A,1985,2
CIN,A,1984,2
CIN,A,1983,2
CIN,A,1982,2
SEA,FRk,2010,2
SEA,FRk,2012,2
CHW,Rk,2013,2
CHC,A,1982,2
CIN,A,1998,2
CIN,A,1999,2
STL,FRk,2018,2
STL,FRk,2019,2
STL,FRk,2021,2
CIN,A,2000,2
STL,FRk,2010,2
STL,FRk,2009,2
STL,FRk,2008,2
STL,FRk,2007,2
STL,FRk,2006,2
CIN,A,1992,2
CIN,A,1991,2
STL,FRk,2002,2
SEA,FRk,2014,2
SEA,FRk,2013,2
CHC,A,1987,2
CHC,A,1986,2
CHC,A,1985,2
CHC,A,1984,2
CHC,A,1983,2
CHC,A,1955,2
CHC,A,1954,2
CHC,A,1953,2
CHC,A,1952,2
ANA,Other,1962,2
BOS,Other,1972,2
PHI,A-,1987,2
DET,Other,1944,2
PHI,A-,1986,2
CHW,Rk,2019,2
CHW,Rk,2018,2
NYY,Rk,1964,2
NYY,Rk,1965,2
NYY,Rk,1966,2
CHW,Rk,2017,2
KCR,FRk,2018,2
KCR,FRk,2019,2
KCR,FRk,2021,2
CHW,Rk,2016,2
CHW,Rk,2015,2
CHW,Rk,2014,2
PHI,AAA,1960,2
NYY,FRk,2021,2
STL,AAA,1961,2
PHI,AAA,1962,2
NYY,Other,1967,2
CIN,A,1949,2
KCR,A-,1969,2
CIN,A,1977,2
CHC,A,1951,2
CHC,A,1950,2
CHC,A,1949,2
CHC,A,1948,2
CHC,A,1947,2
CIN,A,1981,2
CIN,A,1980,2
CIN,A,1979,2
CIN,A,1978,2
NYY,Other,1933,2
NYY,Other,1965,2
NYY,Other,1943,2
NYY,Other,1944,2
NYY,Other,1945,2
CIN,A,1966,2
CIN,A,1965,2
CIN,A,1958,2
CIN,A,1951,2
CIN,A,1950,2
NYY,Other,1964,2
STL,Rk,1976,2
STL,Rk,1977,2
STL,Rk,1978,2
LAD,A+,1996,2
LAD,A+,1998,2
LAD,A+,1999,2
LAD,A+,2000,2
PHI,FRk,2017,2
PHI,FRk,2018,2
PHI,FRk,2019,2
PHI,FRk,2021,2
KCR,A,1984,2
